date,amount,price,sid,symbol,value
2023-07-01 02:16:02.000000,1,30447.9,0,,-30447.9
2023-07-01 02:16:31.000000,-1,30446.1,0,,30446.1
2023-07-01 02:17:02.000000,1,30453.8,0,,-30453.8
2023-07-01 02:17:07.000000,-1,30452.1,0,,30452.1
2023-07-01 02:18:02.000000,1,30442.0,0,,-30442.0
2023-07-01 02:18:05.000000,-1,30440.3,0,,30440.3
2023-07-01 02:19:02.000000,-1,30442.3,0,,30442.3
2023-07-01 02:19:05.000000,1,30443.9,0,,-30443.9
2023-07-01 02:20:03.000000,1,30446.3,0,,-30446.3
2023-07-01 02:21:20.000000,-1,30443.9,0,,30443.9
2023-07-01 02:22:03.000000,-1,30445.8,0,,30445.8
2023-07-01 02:22:29.000000,1,30449.5,0,,-30449.5
2023-07-01 02:23:03.000000,1,30448.0,0,,-30448.0
2023-07-01 02:24:11.000000,-1,30453.2,0,,30453.2
2023-07-01 02:25:02.000000,1,30460.1,0,,-30460.1
2023-07-01 02:25:56.000000,-1,30465.9,0,,30465.9
2023-07-01 02:26:21.000000,1,30464.8,0,,-30464.8
2023-07-01 02:26:22.000000,-1,30464.5,0,,30464.5
2023-07-01 02:27:02.000000,1,30467.7,0,,-30467.7
2023-07-01 02:27:08.000000,-1,30466.0,0,,30466.0
2023-07-01 02:28:02.000000,1,30473.8,0,,-30473.8
2023-07-01 02:28:20.000000,-1,30478.9,0,,30478.9
2023-07-01 02:29:02.000000,1,30479.2,0,,-30479.2
2023-07-01 02:31:02.000000,-2,30492.9,0,,60985.8
2023-07-01 02:31:03.000000,1,30493.8,0,,-30493.8
2023-07-01 02:32:02.000000,1,30498.7,0,,-30498.7
2023-07-01 02:32:09.000000,-1,30495.6,0,,30495.6
2023-07-01 02:33:02.000000,1,30490.9,0,,-30490.9
2023-07-01 02:33:03.000000,-1,30488.9,0,,30488.9
2023-07-01 02:34:02.000000,-1,30484.0,0,,30484.0
2023-07-01 02:35:10.000000,1,30478.0,0,,-30478.0
2023-07-01 02:36:02.000000,-1,30463.0,0,,30463.0
2023-07-01 02:37:02.000000,1,30464.1,0,,-30464.1
2023-07-01 02:38:02.000000,-1,30454.7,0,,30454.7
2023-07-01 02:38:13.000000,1,30455.9,0,,-30455.9
2023-07-01 02:39:02.000000,1,30459.8,0,,-30459.8
2023-07-01 02:39:16.000000,-1,30465.9,0,,30465.9
2023-07-01 02:40:02.000000,1,30471.9,0,,-30471.9
2023-07-01 02:40:36.000000,-1,30470.0,0,,30470.0
2023-07-01 02:41:02.000000,1,30471.9,0,,-30471.9
2023-07-01 02:41:09.000000,-1,30467.0,0,,30467.0
2023-07-01 02:42:02.000000,-1,30456.0,0,,30456.0
2023-07-01 02:42:04.000000,1,30458.0,0,,-30458.0
2023-07-01 02:43:02.000000,1,30458.0,0,,-30458.0
2023-07-01 02:45:57.000000,-1,30453.5,0,,30453.5
2023-07-01 02:46:02.000000,-1,30453.5,0,,30453.5
2023-07-01 02:46:16.000000,1,30447.6,0,,-30447.6
2023-07-01 02:47:02.000000,-1,30427.6,0,,30427.6
2023-07-01 02:47:10.000000,1,30422.0,0,,-30422.0
2023-07-01 02:47:17.000000,1,30416.0,0,,-30416.0
2023-07-01 02:47:18.000000,-1,30416.0,0,,30416.0
2023-07-01 02:48:02.000000,-1,30413.2,0,,30413.2
2023-07-01 02:48:31.000000,1,30415.9,0,,-30415.9
2023-07-01 02:49:02.000000,1,30416.4,0,,-30416.4
2023-07-01 02:50:12.000000,-1,30413.7,0,,30413.7
2023-07-01 02:51:02.000000,1,30417.9,0,,-30417.9
2023-07-01 02:52:02.000000,-2,30417.8,0,,60835.6
2023-07-01 02:52:06.000000,2,30418.9,0,,-60837.8
2023-07-01 02:52:08.000000,-1,30413.3,0,,30413.3
